타다, 51, 176
바가, 95, 184
바자, 64, 154
바아, 90, 144
나마, 75, 198
가나, 63, 176
타마, 92, 155
자가, 87, 149
가사, 69, 199
파사, 55, 165
타나, 82, 155
가마, 70, 191
바아, 79, 185
마타, 78, 180
나사, 57, 161
바하, 77, 154
차차, 61, 198
타라, 56, 169
사하, 48, 198
아가, 69, 164
마파, 68, 153
바자, 53, 172
라타, 80, 180
나사, 43, 197
마하, 68, 184
가하, 92, 142
자자, 53, 196
카하, 57, 175
하아, 94, 195
아가, 62, 160
가나, 67, 149
카자, 94, 191
나차, 51, 197
사차, 78, 154
라카, 40, 193
자아, 73, 191
카카, 49, 168
바사, 44, 180
아바, 50, 148
바라, 41, 142
사가, 43, 179
마나, 99, 169
마나, 99, 151
자자, 72, 141
라다, 63, 143
자바, 51, 151
카나, 43, 163
카타, 88, 170
자마, 43, 150
가나, 67, 162
자마, 48, 174
파아, 96, 194
카마, 44, 195
파가, 82, 178
가차, 62, 186
자마, 84, 161
다나, 77, 166
자마, 86, 182
가하, 64, 198
아다, 53, 176
사라, 52, 167
나가, 82, 184
차가, 64, 198
나카, 59, 153
가아, 51, 147
라라, 47, 154
타가, 70, 173
하바, 55, 185
다가, 88, 142
바라, 70, 156
타마, 56, 193
라라, 65, 195
카사, 80, 146
나자, 46, 156
타라, 96, 194
마라, 65, 141
사아, 97, 157
바차, 42, 141
카하, 68, 145
다바, 66, 157
카파, 79, 146
하가, 86, 168
나타, 68, 142
타카, 76, 145
자나, 68, 193
마바, 47, 180
자자, 83, 198
라라, 92, 178
타차, 60, 184
마마, 86, 193
차다, 48, 188
차나, 89, 194
사파, 85, 154
마파, 90, 178
차라, 58, 196
라마, 47, 160
하나, 89, 175
타타, 97, 148
가나, 90, 177
마카, 56, 187
사아, 87, 166
아나, 61, 180
라마, 80, 166
나하, 68, 159
바타, 73, 180
하타, 75, 186
나사, 53, 170
차타, 79, 157
나나, 92, 182
바하, 53, 140
다라, 96, 150
카파, 72, 157
마라, 77, 148
사파, 72, 188
하하, 75, 146
사타, 86, 143
마다, 91, 185
바타, 80, 194
다마, 85, 147
아카, 89, 193
자마, 90, 197
마마, 87, 184
다자, 78, 163
파타, 83, 145
하카, 63, 177
파나, 53, 195
타사, 94, 195
사라, 94, 157
파다, 69, 154
나차, 73, 158
아나, 68, 146
파다, 94, 177
다자, 52, 170
라하, 69, 141
카하, 62, 182
다라, 93, 164
카다, 63, 181
자파, 86, 161
타사, 76, 178
마자, 55, 191
라파, 94, 183
바타, 46, 169
차바, 76, 161
가차, 74, 149
파다, 89, 184
사카, 68, 163
차라, 72, 165
아아, 73, 165
차하, 42, 158
나다, 47, 157
타다, 94, 194
파가, 68, 155
가하, 69, 153
차자, 87, 151
사가, 59, 145
바나, 98, 191
카카, 70, 176
파가, 48, 199
마라, 56, 143
차사, 49, 172
다자, 95, 190
